,Time,1
S/N,,759293
Type,,TGPR-1201
Description,,id14
Property,,Count
390,2019-02-08 00:05:00,0.0 per Logging Interval
391,2019-02-08 00:10:00,0.0 per Logging Interval
392,2019-02-08 00:15:00,0.0 per Logging Interval
393,2019-02-08 00:20:00,0.0 per Logging Interval
394,2019-02-08 00:25:00,0.0 per Logging Interval
395,2019-02-08 00:30:00,0.0 per Logging Interval
396,2019-02-08 00:35:00,0.0 per Logging Interval
397,2019-02-08 00:40:00,0.0 per Logging Interval
398,2019-02-08 00:45:00,0.0 per Logging Interval
399,2019-02-08 00:50:00,0.0 per Logging Interval
400,2019-02-08 00:55:00,0.0 per Logging Interval
401,2019-02-08 01:00:00,0.0 per Logging Interval
402,2019-02-08 01:05:00,0.0 per Logging Interval
403,2019-02-08 01:10:00,0.0 per Logging Interval
404,2019-02-08 01:15:00,0.0 per Logging Interval
405,2019-02-08 01:20:00,0.0 per Logging Interval
406,2019-02-08 01:25:00,0.0 per Logging Interval
407,2019-02-08 01:30:00,0.0 per Logging Interval
408,2019-02-08 01:35:00,0.0 per Logging Interval
409,2019-02-08 01:40:00,0.0 per Logging Interval
410,2019-02-08 01:45:00,0.0 per Logging Interval
411,2019-02-08 01:50:00,0.0 per Logging Interval
412,2019-02-08 01:55:00,0.0 per Logging Interval
413,2019-02-08 02:00:00,0.0 per Logging Interval
414,2019-02-08 02:05:00,0.0 per Logging Interval
415,2019-02-08 02:10:00,0.0 per Logging Interval
416,2019-02-08 02:15:00,0.0 per Logging Interval
417,2019-02-08 02:20:00,0.0 per Logging Interval
418,2019-02-08 02:25:00,0.0 per Logging Interval
419,2019-02-08 02:30:00,0.0 per Logging Interval
420,2019-02-08 02:35:00,0.0 per Logging Interval
421,2019-02-08 02:40:00,0.0 per Logging Interval
422,2019-02-08 02:45:00,0.0 per Logging Interval
423,2019-02-08 02:50:00,0.0 per Logging Interval
424,2019-02-08 02:55:00,0.0 per Logging Interval
425,2019-02-08 03:00:00,0.0 per Logging Interval
426,2019-02-08 03:05:00,0.0 per Logging Interval
427,2019-02-08 03:10:00,0.0 per Logging Interval
428,2019-02-08 03:15:00,0.0 per Logging Interval
429,2019-02-08 03:20:00,0.0 per Logging Interval
430,2019-02-08 03:25:00,0.0 per Logging Interval
431,2019-02-08 03:30:00,0.0 per Logging Interval
432,2019-02-08 03:35:00,0.0 per Logging Interval
433,2019-02-08 03:40:00,0.0 per Logging Interval
434,2019-02-08 03:45:00,0.0 per Logging Interval
435,2019-02-08 03:50:00,0.0 per Logging Interval
436,2019-02-08 03:55:00,0.0 per Logging Interval
